full_organization_name,short_organization_name,url,description,organization_type,location_hq
United Nations Institute for Disarmament Research,UNIDIR,http://www.unidir.org/,"The United Nations Institute for Disarmament Research is a voluntarily funded autonomous institute within the United Nations. An impartial actor, the Institute generates ideas and promotes action on disarmament and security. UNIDIR brings together states, international organizations, civil society, the private sector and academia to work together—internationally, regionally and locally—to build and implement creative solutions that will benefit all states and peoples.",Other Entities and Bodies,"Geneva, Switzerland"
United Nations Institute for Training and Research,UNITAR,http://www.unitar.org/,"An autonomous UN body established in 1963, the United Nations Institute for Training and Research is a training arm of the United Nations System, and has the mandate to enhance the effectiveness of the UN through diplomatic training, and to increase the impact of national actions through public awareness-raising, education and training of public policy officials.",Other Entities and Bodies,"Geneva, Switzerland"
United Nations Office for Project Services,UNOPS,https://www.unops.org/english/Pages/Home.aspx,"The mission of the United Nations Office for Project Services is to help people build better lives and help countries achieve peace and sustainable development. UNOPS helps the UN, governments and other partners to manage projects, and deliver sustainable infrastructure and procurement in an efficient way.",Other Entities and Bodies,"Copenhagen, Denmark"
United Nations Relief and Works Agency for Palestine Refugees in the Near East,UNRWA,http://www.unrwa.org/,"The United Nations Relief and Works Agency for Palestine Refugees in the Near East has contributed to the welfare and human development of four generations of Palestine refugees. It’s services encompass education, health care, relief and social services, camp infrastructure and improvement, microfinance and emergency assistance, including in times of armed conflict. It reports only to the UN General Assembly.",Other Entities and Bodies,"Amman, Jordan"
United Nations System Staff College,UNSSC,https://www.unssc.org/,The United Nations System Staff College is the learning organization of the United Nations system. It designs and delivers learning programmes for staff of the UN system and its partners. It helps the United Nations become more effective by fostering a common leadership and management culture across the system.,Other Entities and Bodies,"Turin, Italy"
United Nations University,UNU,https://unu.edu/,"The United Nations University was established by the UN General Assembly with the mandate to conduct “research into the pressing global problems of human survival, development and welfare.” Today, the University comprises 14 research and training institutes in 12 countries. As the think tank of the UN system, UNU provides policymakers with high-quality, evidence-based research and pragmatic advice.",Other Entities and Bodies,"Tokyo, Japan"
UN Women,UN Women,http://www.unwomen.org/en,"UN Women merges and builds on the important work of four previously distinct parts of the UN system, which focus exclusively on gender equality and women’s empowerment.",Other Entities and Bodies,"New York City, USA"
Preparatory Commission for the Comprehensive Nuclear-Test-Ban Treaty Organization,CTBTO,http://www.ctbto.org/,The Preparatory Commission for the Comprehensive Nuclear-Test-Ban Treaty Organization promotes the Comprehensive Nuclear-Test-Ban Treaty (which is not yet in force) and the build-up of the verification regime so that it is operational when the Treaty enters into force.,Related Organizations,"Vienna, Austria"
International Atomic Energy Agency,IAEA,https://www.iaea.org/,"The International Atomic Energy Agency, is the world's centre for cooperation in the nuclear field. The Agency works with its Member States and multiple partners worldwide to promote the safe, secure and peaceful use of nuclear technologies.",Related Organizations,"Vienna, Austria"
International Criminal Court,ICC,https://www.icc-cpi.int/,"The International Criminal Court investigates and, where warranted, tries individuals charged with the gravest crimes of concern to the international community: genocide, war crimes, crimes against humanity and the crime of aggression. As a court of last resort, it seeks to complement, not replace, national courts.",Related Organizations,"The Hague, Netherlands"
International Organization for Migration,IOM,http://www.iom.int/,"The International Organization for Migration works to help ensure the orderly and humane management of migration, to promote international cooperation on migration issues, to assist in the search for practical solutions to migration problems and to provide humanitarian assistance to migrants in need, including refugees and internally displaced people.",Related Organizations,"Geneva, Switzerland"
Organisation for the Prohibition of Chemical Weapons,OPCW,http://www.opcw.org/,"The Organisation for the Prohibition of Chemical Weapons is the implementing body of the Chemical Weapons Convention (CWC), which entered into force in 1997. OPCW Member States work together to achieve a world free of chemical weapons.",Related Organizations,"The Hague, Netherlands"
UNFCCC Secretariat,UNFCCC,https://unfccc.int/,"The UNFCCC Secretariat (UN Climate Change) was established in 1992 when countries adopted the United Nations Framework Convention on Climate Change (UNFCCC). With the subsequent adoption of the Kyoto Protocol in 1997 and the Paris Agreement in 2015, Parties to these three agreements have progressively reaffirmed the Secretariat’s role as the United Nations entity tasked with supporting the global response to the threat of climate change.",Related Organizations,"Bonn, Germany"
World Trade Organization,WTO,https://www.wto.org/,"The World Trade Organization is a forum for governments to negotiate trade agreements, and a place where member governments try to sort out the trade problems they face with each other.",Related Organizations,"Geneva, Switzerland"
International Trade Centre,ITC,https://www.intracen.org/,"The International Trade Centre (ITC) is the only development agency that is fully dedicated to supporting the internationalization of small and medium-sized enterprises (SMEs). Established in 1964, the ITC is the joint agency of the World Trade Organization and the United Nations.",Related Organizations,"Geneva, Switzerland"
